,store_name,permission_date,situation,address,address_road,new_store_name,trans_ad,trans_ad_road,x,y
44,오는곳세화,2021-12-13,영업,제주특별자치도 제주시 구좌읍 세화리 3641,제주특별자치도 제주시 구좌읍 해맞이해안로 1382,오는곳세화 제주특별자치도 제주시 구좌읍 해맞이해안로 1382,세화리 3641,해맞이해안로 1382,126.855603069,33.527561670
45,구아우쇼콜라,2021-12-27,영업,제주특별자치도 제주시 구좌읍 김녕리 3860,"제주특별자치도 제주시 구좌읍 김녕항2길 14, 1층","구아우쇼콜라 제주특별자치도 제주시 구좌읍 김녕항2길 14, 1층",김녕리 3860,"김녕항2길 14,",126.746135894,33.556253550
46,밀당제주,2021-12-10,영업,제주특별자치도 제주시 구좌읍 월정리 516,"제주특별자치도 제주시 구좌읍 월정5길 42, 1층","밀당제주 제주특별자치도 제주시 구좌읍 월정5길 42, 1층",월정리 516,"월정5길 42,",126.795088839,33.554124912
47,월정리앤카멜리아,2021-12-15,영업,제주특별자치도 제주시 구좌읍 월정리 429-1,"제주특별자치도 제주시 구좌읍 월정1길 46-2, 1층","월정리앤카멜리아 제주특별자치도 제주시 구좌읍 월정1길 46-2, 1층",월정리 429-1,"월정1길 46-2,",126.792158744,33.555345661
48,지환이네밥집,2023-04-07,영업,제주특별자치도 제주시 구좌읍 송당리 1508,"제주특별자치도 제주시 구좌읍 송당6길 38, 1층","지환이네밥집 제주특별자치도 제주시 구좌읍 송당6길 38, 1층",송당리 1508,"송당6길 38,",126.784026651,33.468242277
49,처갓집양념치킨구좌점,2023-04-07,영업,제주특별자치도 제주시 구좌읍 행원리 2770-2,"제주특별자치도 제주시 구좌읍 덕행로 262-11, 1층","처갓집양념치킨구좌점 제주특별자치도 제주시 구좌읍 덕행로 262-11, 1층",행원리 2770-2,"덕행로 262-11,",126.788562047,33.527842428
50,세화길카페,2023-04-14,영업,제주특별자치도 제주시 구좌읍 세화리 3645-8,"제주특별자치도 제주시 구좌읍 세화1길 17, 2층","세화길카페 제주특별자치도 제주시 구좌읍 세화1길 17, 2층",세화리 3645-8,"세화1길 17,",126.854364296,33.525247532
51,월정리쇠막,2023-04-25,영업,제주특별자치도 제주시 구좌읍 월정리 668,"제주특별자치도 제주시 구좌읍 월정중길 45-1, 1층","월정리쇠막 제주특별자치도 제주시 구좌읍 월정중길 45-1, 1층",월정리 668,"월정중길 45-1,",126.793365057,33.559072816
52,평대여,2023-04-19,영업,제주특별자치도 제주시 구좌읍 평대리 2018,"제주특별자치도 제주시 구좌읍 해맞이해안로 1208, 1층","평대여 제주특별자치도 제주시 구좌읍 해맞이해안로 1208, 1층",평대리 2018,"해맞이해안로 1208,",126.843059861,33.533636202
53,이태리부부,2023-04-21,영업,제주특별자치도 제주시 구좌읍 송당리 1189-3,"제주특별자치도 제주시 구좌읍 중산간동로 2143, 1층","이태리부부 제주특별자치도 제주시 구좌읍 중산간동로 2143, 1층",송당리 1189-3,"중산간동로 2143,",126.772219903,33.471167792
54,해산물한접시,2023-04-21,영업,제주특별자치도 제주시 구좌읍 종달리 461,"제주특별자치도 제주시 구좌읍 해맞이해안로 2234, 1층","해산물한접시 제주특별자치도 제주시 구좌읍 해맞이해안로 2234, 1층",종달리 461,"해맞이해안로 2234,",126.911514082,33.500433506
55,까망도그,2023-05-03,영업,제주특별자치도 제주시 구좌읍 김녕리 1266,"제주특별자치도 제주시 구좌읍 김녕로21길 23, 1층","까망도그 제주특별자치도 제주시 구좌읍 김녕로21길 23, 1층",김녕리 1266,"김녕로21길 23,",126.754974799,33.557826106
56,프랭크버거제주월정점,2023-05-19,영업,제주특별자치도 제주시 구좌읍 행원리 1537-17,"제주특별자치도 제주시 구좌읍 행원로1길 29, 1층","프랭크버거제주월정점 제주특별자치도 제주시 구좌읍 행원로1길 29, 1층",행원리 1537-17,"행원로1길 29,",126.799808954,33.554542717
57,통큰제주왕갈비,2023-04-04,영업,제주특별자치도 제주시 구좌읍 평대리 148-1,"제주특별자치도 제주시 구좌읍 세평항로 1, 1층","통큰제주왕갈비 제주특별자치도 제주시 구좌읍 세평항로 1, 1층",평대리 148-1,"세평항로 1,",126.852719504,33.523731426
58,바다사무소,2021-11-09,영업,제주특별자치도 제주시 구좌읍 평대리 2024-2,"제주특별자치도 제주시 구좌읍 해맞이해안로 1202, 1동","바다사무소 제주특별자치도 제주시 구좌읍 해맞이해안로 1202, 1동",평대리 2024-2,"해맞이해안로 1202,",126.842499499,33.533230182
59,플로티에가든,2021-11-09,영업,제주특별자치도 제주시 구좌읍 월정리 33-12,"제주특별자치도 제주시 구좌읍 해맞이해안로 486, 2층 201호","플로티에가든 제주특별자치도 제주시 구좌읍 해맞이해안로 486, 2층 201호",월정리 33-12,"해맞이해안로 486,",126.798871080,33.554723109
60,하루이수다,2021-10-13,영업,제주특별자치도 제주시 구좌읍 세화리 1248-3,"제주특별자치도 제주시 구좌읍 세화남1길 3, 1층","하루이수다 제주특별자치도 제주시 구좌읍 세화남1길 3, 1층",세화리 1248-3,"세화남1길 3,",126.855980716,33.519130109
61,럭키유,2021-10-25,영업,제주특별자치도 제주시 구좌읍 월정리 505,"제주특별자치도 제주시 구좌읍 월정5길 56, 1층","럭키유 제주특별자치도 제주시 구좌읍 월정5길 56, 1층",월정리 505,"월정5길 56,",126.794966460,33.555154007
62,제주의계절,2021-10-22,영업,제주특별자치도 제주시 구좌읍 종달리 825-2,제주특별자치도 제주시 구좌읍 종달로5길 34,제주의계절 제주특별자치도 제주시 구좌읍 종달로5길 34,종달리 825-2,종달로5길 34,126.899545364,33.493152000
63,김녕제주흑돼지정육식당,2021-12-07,영업,제주특별자치도 제주시 구좌읍 김녕리 2537,"제주특별자치도 제주시 구좌읍 김녕로4길 28, 1층","김녕제주흑돼지정육식당 제주특별자치도 제주시 구좌읍 김녕로4길 28, 1층",김녕리 2537,"김녕로4길 28,",126.744179156,33.552728074
64,인수네정육식당,2021-12-07,영업,제주특별자치도 제주시 구좌읍 김녕리 1633,"제주특별자치도 제주시 구좌읍 김녕로 103, 1층","인수네정육식당 제주특별자치도 제주시 구좌읍 김녕로 103, 1층",김녕리 1633,"김녕로 103,",126.749154415,33.554431370
65,다코네,2021-11-23,영업,제주특별자치도 제주시 구좌읍 평대리 1753-1,"제주특별자치도 제주시 구좌읍 평대4길 20-1, 제2동 1~2층","다코네 제주특별자치도 제주시 구좌읍 평대4길 20-1, 제2동 1~2층",평대리 1753-1,"평대4길 20-1,",126.836687131,33.529253783
66,바다를바라보면,2021-11-24,영업,제주특별자치도 제주시 구좌읍 월정리 421-1,"제주특별자치도 제주시 구좌읍 월정1길 47-1, 1층","바다를바라보면 제주특별자치도 제주시 구좌읍 월정1길 47-1, 1층",월정리 421-1,"월정1길 47-1,",126.792330857,33.555895554
67,제주밭담백숙,2021-11-16,영업,제주특별자치도 제주시 구좌읍 김녕리 731-5,제주특별자치도 제주시 구좌읍 김녕남8길 55-87,제주밭담백숙 제주특별자치도 제주시 구좌읍 김녕남8길 55-87,김녕리 731-5,김녕남8길 55-87,126.761539891,33.543002166
68,런던베이글뮤지엄제주(London Bagel Museum),2023-03-02,영업,제주특별자치도 제주시 구좌읍 동복리 719-1,"제주특별자치도 제주시 구좌읍 동복로 85, 제2동 지하1~1층","런던베이글뮤지엄제주(London Bagel Museum) 제주특별자치도 제주시 구좌읍 동복로 85, 제2동 지하1~1층",동복리 719-1,"동복로 85,",126.715697463,33.553604342
69,브라보커피웍스,2023-02-15,영업,제주특별자치도 제주시 구좌읍 세화리 25,"제주특별자치도 제주시 구좌읍 세화11길 8, 1층","브라보커피웍스 제주특별자치도 제주시 구좌읍 세화11길 8, 1층",세화리 25,"세화11길 8,",126.860973224,33.521563609
