store_name,date,visits
모몽더티하우스,2021-10-30,1
부원뚝배기본점,2020-04-11,1
부원뚝배기본점,2020-05-30,2
부원뚝배기본점,2020-07-18,1
부원뚝배기본점,2020-08-01,2
부원뚝배기본점,2020-08-29,1
부원뚝배기본점,2020-09-19,1
부원뚝배기본점,2020-09-26,1
부원뚝배기본점,2020-11-07,1
부원뚝배기본점,2020-11-14,1
부원뚝배기본점,2020-11-21,3
부원뚝배기본점,2020-11-28,1
부원뚝배기본점,2021-03-06,1
부원뚝배기본점,2021-04-03,2
부원뚝배기본점,2021-04-17,1
부원뚝배기본점,2021-04-24,2
부원뚝배기본점,2021-05-01,2
부원뚝배기본점,2021-05-08,2
부원뚝배기본점,2021-05-22,1
부원뚝배기본점,2021-06-05,1
부원뚝배기본점,2021-06-19,3
부원뚝배기본점,2021-07-03,1
부원뚝배기본점,2021-07-10,1
부원뚝배기본점,2021-08-07,3
부원뚝배기본점,2021-10-30,2
부원뚝배기본점,2021-11-06,2
부원뚝배기본점,2021-12-11,1
부원뚝배기본점,2021-12-25,1
초특급비빔국수,2021-05-15,1
비에이치씨제주협재점,2020-01-25,1
비에이치씨제주협재점,2020-05-23,1
단정한까페,2021-10-30,1
애월로반점,2021-05-15,1
애월로반점,2021-11-06,1
애월로반점,2021-12-11,1
꽈리치킨,2020-12-12,2
꽈리치킨,2021-02-06,1
금갈치식당,2020-01-04,1
금갈치식당,2020-01-11,1
금갈치식당,2020-03-14,1
금갈치식당,2020-07-18,1
금갈치식당,2020-08-01,1
금갈치식당,2020-08-22,1
금갈치식당,2020-09-05,1
금갈치식당,2020-09-26,1
금갈치식당,2020-11-07,2
금갈치식당,2020-11-21,2
금갈치식당,2020-12-19,1
금갈치식당,2021-02-27,1
금갈치식당,2021-04-10,1
금갈치식당,2021-06-19,1
금갈치식당,2021-07-10,1
